Outcome,Predictor,Coef,StdError,DF,t_value,p_value,FDR,logPval,sig
z_mocam,MT.DLOOP2_heteroplasmic,-0.355750434114091,0.67006212305246,103.208938101988,-0.530921569620253,0.596613787515957,0.903711125950962,0.224306714478967,no
z_moca,MT.DLOOP1_heteroplasmic,-0.219657176006427,0.416867767456247,106.495912685813,-0.526922907344909,0.599343005117918,0.903207465648308,0.2223245589207,no
comp_overall2,MT.RNR1_heteroplasmic,-0.133284056039674,0.254742493417306,163.043641303314,-0.52321092665657,0.601537824337323,0.865058769934006,0.220737059289202,no
z_mocam,MT.TI_heteroplasmic,-0.503523431105793,0.963239109540989,124.443677938095,-0.522739812076086,0.602084759171964,0.903711125950962,0.220342366134971,no
comp_memory,MT.RNR2_heteroplasmic,0.150766351057592,0.292311160428462,141.435767381316,0.515773502580614,0.606817934521972,0.947753673522063,0.216941592109389,no
z_mocam,MT.RNR1_heteroplasmic,0.193605582347134,0.378315872709852,140.78785096018,0.511756435066679,0.609623246940346,0.903711125950962,0.214938480275061,no
comp_memory,MT.CO2_heteroplasmic,0.295347117161139,0.579995286596456,145.060457911562,0.50922330575185,0.611369445959376,0.947753673522063,0.213696269539955,no
comp_overall,MT.RNR1_heteroplasmic,-0.128682100921037,0.25540220431577,161.462638223499,-0.503840995678876,0.615059877004626,0.96794292647063,0.211082602945096,no
z_wld,MT.RNR2_heteroplasmic,0.1478837101335,0.295769377704443,142.202483245094,0.499996690939647,0.617850243554387,0.979590438687123,0.209116777790514,no
comp_memory,MT.ND6_heteroplasmic,-0.269007460992527,0.540132958255462,123.979499295542,-0.498039338057384,0.619338616609424,0.947753673522063,0.208071840291535,no
z_wll,MT.CO2_heteroplasmic,0.297736796180133,0.600544274135666,142.725976568103,0.495778261492295,0.620813409133532,0.952684798714205,0.207038911192832,no
comp_memory2,MT.TQ_heteroplasmic,-0.392109260714736,0.809911957368429,121.340319928635,-0.484138130258972,0.629160510864202,0.963519497167247,0.201238543601145,no
comp_memory,MT.DLOOP1_heteroplasmic,-0.176445375947449,0.365025050676872,142.490828143528,-0.483378813646526,0.629568729681611,0.947753673522063,0.200956851271588,no
comp_memory2,MT.CYB_heteroplasmic,-0.123142873535949,0.256460778304735,148.828804398837,-0.480162597766224,0.631816752167668,0.963519497167247,0.199408863271758,no
comp_fluency,MT.ATP6_heteroplasmic,0.220327772359106,0.463898544800707,187.825983821504,0.474948186038737,0.635375697821609,0.785131385430281,0.196969400311223,no
z_wld,MT.ATP6_heteroplasmic,0.284591667537491,0.60149886961048,166.769040536925,0.473137493544731,0.63673378514663,0.979590438687123,0.196042105824116,no
comp_memory2,MT.RNR1_heteroplasmic,0.146983644587189,0.315289250882945,160.238813003079,0.466186665658827,0.641715002231059,0.963519497167247,0.192657807506371,no
z_af,MT.TN_heteroplasmic,-0.402431356583383,0.876932052301231,163.029209458296,-0.458908253526973,0.646911288651969,0.854150604111632,0.189155270321125,no
comp_overall,MT.CO2_heteroplasmic,0.192571867037163,0.422034443931353,155.697708355826,0.45629419542943,0.648814286925381,0.96794292647063,0.187879595503834,no
comp_overall2,MT.TF_heteroplasmic,0.3087394463751,0.695204268152848,139.033057162565,0.44409889368979,0.657661527601543,0.865058769934006,0.181997563095974,no
z_moca,MT.CO2_heteroplasmic,0.259249509348006,0.592061853901614,126.612539622023,0.437875717950049,0.662222470400872,0.903207465648308,0.178996086940132,no
z_wll,MT.RNR1_heteroplasmic,0.157961296190541,0.361037303389733,149.282844518857,0.437520706883921,0.662366084796088,0.952684798714205,0.178901912882288,no
comp_fluency,MT.ND5_heteroplasmic,-0.10506543516156,0.24399157938701,151.901959754396,-0.430610906431772,0.667361677615739,0.785131385430281,0.175638735766131,no
z_moca,MT.TF_heteroplasmic,0.406539351807958,0.974628342077247,109.486747286852,0.417122439658887,0.677405599236231,0.903207465648308,0.169151217925596,no
comp_memory,MT.RNR1_heteroplasmic,0.145091317277185,0.348297204807787,150.297222311497,0.41657330370267,0.677584850942535,0.947753673522063,0.169036312278307,no
comp_memory,MT.TF_heteroplasmic,-0.395901309701199,0.957493928383879,129.518738721688,-0.413476574592412,0.679941284837979,0.947753673522063,0.167528588428805,no
z_af,MT.CYB_heteroplasmic,-0.101203668650008,0.24758737245844,144.715499921169,-0.408759411455834,0.683320483289306,0.854150604111632,0.165375560623449,no
comp_overall2,MT.CO3_heteroplasmic,0.101316631762794,0.256856941056948,145.816770233921,0.394447708307525,0.69382683391845,0.865058769934006,0.158748907726374,no
z_mocam,MT.ND2_heteroplasmic,0.151578332924834,0.405480164944739,118.349890648426,0.37382428545054,0.7092038929208,0.903711125950962,0.149228889160542,no
comp_memory2,MT.TN_heteroplasmic,-0.316798475244351,0.877377805329102,150.198471863005,-0.361074184142966,0.718551354348535,0.963519497167247,0.143542187706255,no
comp_overall,MT.TF_heteroplasmic,0.252859683365328,0.700779676958646,139.369484171127,0.360826222105539,0.718775691302117,0.96794292647063,0.143406618975237,no
z_wld,MT.ND1_heteroplasmic,-0.216581468090522,0.607484885535655,177.480985354529,-0.356521574852927,0.721873482509118,0.988884570757054,0.141538911381679,no
z_lf,MT.TI_heteroplasmic,-0.298621659639284,0.841323028438589,187.855400951031,-0.3549429286317,0.723030517402212,0.850624138120249,0.14084337177922,no
z_wll,MT.ND6_heteroplasmic,-0.196710960719988,0.556568716303872,120.695752967181,-0.353435173335522,0.724378803557908,0.952684798714205,0.14003426629906,no
comp_overall2,MT.ND5_heteroplasmic,-0.079516819772029,0.230454844512769,148.389275779895,-0.345042951646968,0.730550670550045,0.865058769934006,0.136349656283959,no
comp_memory2,MT.ND5_heteroplasmic,-0.0976969432342946,0.285252727517118,145.81672822293,-0.342492582225815,0.732473411569398,0.963519497167247,0.135208135367395,no
comp_overall2,MT.TN_heteroplasmic,-0.24320488652863,0.719367341073996,159.46225770338,-0.338081634572862,0.735746353142423,0.865058769934006,0.133271881880811,no
z_mocam,MT.CYB_heteroplasmic,-0.0955525208295114,0.300031190284425,122.819045434123,-0.318475291648608,0.750665360780084,0.903711125950962,0.124553624055225,no
comp_memory2,MT.DLOOP2_heteroplasmic,0.161802361399626,0.52057820133852,153.855662120771,0.310812786596896,0.756363631556148,0.963519497167247,0.1212693616279,no
z_af,MT.ND2_heteroplasmic,0.108915306898451,0.350710360166258,138.865760323299,0.310556285952939,0.756603597610914,0.890121879542251,0.121131597990601,no
